game_id,home/away,opp_name,opp_code,result
446873,Away,Kansas City Royals,118,L
446896,Away,Kansas City Royals,118,W
446921,Home,Philadelphia Phillies,143,W
446936,Home,Philadelphia Phillies,143,L
446951,Home,Philadelphia Phillies,143,L
446963,Home,Miami Marlins,146,L
446974,Home,Miami Marlins,146,L
446990,Home,Miami Marlins,146,W
447017,Away,Cleveland Indians,114,W
447032,Away,Cleveland Indians,114,L
447047,Away,Cleveland Indians,114,W
447067,Away,Philadelphia Phillies,143,W
447082,Away,Philadelphia Phillies,143,W
447096,Away,Philadelphia Phillies,143,L
447110,Away,Atlanta Braves,144,W
447125,Away,Atlanta Braves,144,W
447140,Away,Atlanta Braves,144,W
447151,Home,Cincinnati Reds,113,W
447164,Home,Cincinnati Reds,113,W
447179,Home,Cincinnati Reds,113,W
447211,Home,San Francisco Giants,137,W
447226,Home,San Francisco Giants,137,W
447241,Home,San Francisco Giants,137,L
447244,Home,Atlanta Braves,144,W
447255,Home,Atlanta Braves,144,L
447270,Home,Atlanta Braves,144,W
447289,Away,San Diego Padres,135,L
447302,Away,San Diego Padres,135,L
447317,Away,San Diego Padres,135,W
447332,Away,San Diego Padres,135,W
447347,Away,Los Angeles Dodgers,119,W
447360,Away,Los Angeles Dodgers,119,L
447375,Away,Los Angeles Dodgers,119,W
447386,Away,Los Angeles Dodgers,119,L
447399,Away,Colorado Rockies,115,L
447414,Away,Colorado Rockies,115,L
447429,Away,Colorado Rockies,115,L
447458,Home,Washington Nationals,120,W
447473,Home,Washington Nationals,120,L
447485,Home,Washington Nationals,120,L
447494,Home,Milwaukee Brewers,158,W
447509,Home,Milwaukee Brewers,158,W
447524,Home,Milwaukee Brewers,158,W
447535,Away,Washington Nationals,120,W
447549,Away,Washington Nationals,120,L
447565,Away,Washington Nationals,120,W
447585,Home,Los Angeles Dodgers,119,W
447600,Home,Los Angeles Dodgers,119,L
447615,Home,Los Angeles Dodgers,119,L
447625,Home,Chicago White Sox,145,W
447640,Home,Chicago White Sox,145,L
447656,Home,Chicago White Sox,145,L
447686,Away,Miami Marlins,146,W
447701,Away,Miami Marlins,146,W
447716,Away,Miami Marlins,146,L
447743,Away,Pittsburgh Pirates,134,L
447731,Away,Pittsburgh Pirates,134,L
447758,Away,Pittsburgh Pirates,134,W
447769,Away,Milwaukee Brewers,158,W
447781,Away,Milwaukee Brewers,158,W
447796,Away,Milwaukee Brewers,158,L
447811,Away,Milwaukee Brewers,158,L
447839,Home,Pittsburgh Pirates,134,L
447853,Home,Pittsburgh Pirates,134,W
447862,Home,Pittsburgh Pirates,134,W
447868,Home,Atlanta Braves,144,L
447883,Home,Atlanta Braves,144,L
447898,Home,Atlanta Braves,144,L
447926,Home,Kansas City Royals,118,W
447941,Home,Kansas City Royals,118,W
447954,Away,Atlanta Braves,144,L
447967,Away,Atlanta Braves,144,W
447982,Away,Atlanta Braves,144,W
447997,Away,Atlanta Braves,144,L
448010,Away,Washington Nationals,120,L
448024,Away,Washington Nationals,120,L
448040,Away,Washington Nationals,120,L
448047,Home,Chicago Cubs,112,W
448058,Home,Chicago Cubs,112,W
448073,Home,Chicago Cubs,112,W
448088,Home,Chicago Cubs,112,W
448109,Home,Miami Marlins,146,W
448124,Home,Miami Marlins,146,L
448139,Home,Miami Marlins,146,W
448156,Home,Washington Nationals,120,W
448171,Home,Washington Nationals,120,L
448186,Home,Washington Nationals,120,L
448201,Home,Washington Nationals,120,L
448213,Away,Philadelphia Phillies,143,W
448228,Away,Philadelphia Phillies,143,L
448243,Away,Philadelphia Phillies,143,W
448255,Away,Chicago Cubs,112,L
448268,Away,Chicago Cubs,112,W
448283,Away,Chicago Cubs,112,L
448307,Away,Miami Marlins,146,W
448322,Away,Miami Marlins,146,L
448337,Away,Miami Marlins,146,W
448367,Home,St. Louis Cardinals,138,L
448354,Home,St. Louis Cardinals,138,W
448382,Home,St. Louis Cardinals,138,L
448388,Home,Colorado Rockies,115,L
448398,Home,Colorado Rockies,115,L
448413,Home,Colorado Rockies,115,L
448428,Home,Colorado Rockies,115,W
448443,Home,New York Yankees,147,L
448453,Home,New York Yankees,147,W
448468,Away,New York Yankees,147,L
448481,Away,New York Yankees,147,W
448498,Away,Detroit Tigers,116,L
448513,Away,Detroit Tigers,116,L
448528,Away,Detroit Tigers,116,W
448541,Home,Arizona Diamondbacks,109,L
448556,Home,Arizona Diamondbacks,109,L
448571,Home,Arizona Diamondbacks,109,L
448593,Home,San Diego Padres,135,L
448608,Home,San Diego Padres,135,W
448623,Home,San Diego Padres,135,W
448629,Away,Arizona Diamondbacks,109,L
448642,Away,Arizona Diamondbacks,109,W
448657,Away,Arizona Diamondbacks,109,L
448673,Away,San Francisco Giants,137,L
448685,Away,San Francisco Giants,137,L
448700,Away,San Francisco Giants,137,W
448715,Away,San Francisco Giants,137,W
448740,Away,St. Louis Cardinals,138,W
448756,Away,St. Louis Cardinals,138,L
448768,Away,St. Louis Cardinals,138,W
448782,Home,Philadelphia Phillies,143,W
448797,Home,Philadelphia Phillies,143,W
448812,Home,Philadelphia Phillies,143,L
448820,Home,Miami Marlins,146,W
448834,Home,Miami Marlins,146,W
448849,Home,Miami Marlins,146,W
448861,Home,Miami Marlins,146,L
448878,Home,Washington Nationals,120,L
448893,Home,Washington Nationals,120,W
448908,Home,Washington Nationals,120,W
448918,Away,Cincinnati Reds,113,W
448933,Away,Cincinnati Reds,113,W
448948,Away,Cincinnati Reds,113,W
448970,Away,Atlanta Braves,144,W
448985,Away,Atlanta Braves,144,L
449000,Away,Atlanta Braves,144,W
449014,Away,Washington Nationals,120,L
449029,Away,Washington Nationals,120,W
449044,Away,Washington Nationals,120,L
449067,Home,Minnesota Twins,142,W
449082,Home,Minnesota Twins,142,W
449097,Home,Minnesota Twins,142,W
449107,Home,Atlanta Braves,144,L
449117,Home,Atlanta Braves,144,L
449132,Home,Atlanta Braves,144,L
449153,Home,Philadelphia Phillies,143,W
449165,Home,Philadelphia Phillies,143,W
449180,Home,Philadelphia Phillies,143,L
449195,Home,Philadelphia Phillies,143,W
449206,Away,Miami Marlins,146,L
449221,Away,Miami Marlins,146,W
449236,Away,Miami Marlins,146,W
449262,Away,Philadelphia Phillies,143,W
449277,Away,Philadelphia Phillies,143,W
449292,Away,Philadelphia Phillies,143,L
