game_id,home/away,opp_name,opp_code,result
446871,Home,Los Angeles Dodgers,119,L
446884,Home,Los Angeles Dodgers,119,L
446894,Home,Los Angeles Dodgers,119,L
446923,Away,Colorado Rockies,115,W
446938,Away,Colorado Rockies,115,W
446953,Away,Colorado Rockies,115,L
446966,Away,Philadelphia Phillies,143,W
446978,Away,Philadelphia Phillies,143,L
446993,Away,Philadelphia Phillies,143,L
447005,Away,Philadelphia Phillies,143,L
447007,Home,Arizona Diamondbacks,109,L
447022,Home,Arizona Diamondbacks,109,W
447037,Home,Arizona Diamondbacks,109,L
447069,Home,Pittsburgh Pirates,134,W
447084,Home,Pittsburgh Pirates,134,W
447098,Home,Pittsburgh Pirates,134,L
447115,Home,St. Louis Cardinals,138,W
447130,Home,St. Louis Cardinals,138,L
447145,Home,St. Louis Cardinals,138,L
447159,Away,San Francisco Giants,137,L
447174,Away,San Francisco Giants,137,L
447189,Away,San Francisco Giants,137,L
447210,Away,Los Angeles Dodgers,119,W
447225,Away,Los Angeles Dodgers,119,W
447240,Away,Los Angeles Dodgers,119,L
447246,Home,Colorado Rockies,115,W
447258,Home,Colorado Rockies,115,W
447273,Home,Colorado Rockies,115,L
447289,Home,New York Mets,121,W
447302,Home,New York Mets,121,W
447317,Home,New York Mets,121,L
447332,Home,New York Mets,121,L
447364,Away,Chicago Cubs,112,L
447350,Away,Chicago Cubs,112,W
447379,Away,Chicago Cubs,112,W
447388,Away,Milwaukee Brewers,158,W
447402,Away,Milwaukee Brewers,158,L
447417,Away,Milwaukee Brewers,158,W
447432,Away,Milwaukee Brewers,158,L
447454,Home,San Francisco Giants,137,L
447469,Home,San Francisco Giants,137,L
447482,Home,San Francisco Giants,137,L
447493,Home,Los Angeles Dodgers,119,W
447508,Home,Los Angeles Dodgers,119,W
447523,Home,Los Angeles Dodgers,119,L
447538,Away,San Francisco Giants,137,L
447552,Away,San Francisco Giants,137,L
447568,Away,San Francisco Giants,137,L
447591,Away,Arizona Diamondbacks,109,W
447606,Away,Arizona Diamondbacks,109,L
447621,Away,Arizona Diamondbacks,109,L
447633,Away,Seattle Mariners,136,L
447648,Away,Seattle Mariners,136,L
447664,Home,Seattle Mariners,136,W
447677,Home,Seattle Mariners,136,L
447682,Home,Colorado Rockies,115,W
447697,Home,Colorado Rockies,115,W
447712,Home,Colorado Rockies,115,L
447724,Home,Atlanta Braves,144,W
447734,Home,Atlanta Braves,144,W
447749,Home,Atlanta Braves,144,L
447784,Away,Colorado Rockies,115,W
447799,Away,Colorado Rockies,115,L
447814,Away,Colorado Rockies,115,L
447822,Home,Miami Marlins,146,L
447834,Home,Miami Marlins,146,L
447849,Home,Miami Marlins,146,W
447866,Home,Washington Nationals,120,L
447881,Home,Washington Nationals,120,L
447896,Home,Washington Nationals,120,W
447911,Home,Washington Nationals,120,W
447930,Away,Baltimore Orioles,110,W
447945,Away,Baltimore Orioles,110,L
447957,Away,Cincinnati Reds,113,W
447970,Away,Cincinnati Reds,113,W
447985,Away,Cincinnati Reds,113,W
448000,Away,Cincinnati Reds,113,L
448016,Home,Baltimore Orioles,110,L
448031,Home,Baltimore Orioles,110,L
448068,Home,New York Yankees,147,W
448083,Home,New York Yankees,147,W
448098,Home,New York Yankees,147,L
448114,Away,Arizona Diamondbacks,109,W
448129,Away,Arizona Diamondbacks,109,L
448144,Away,Arizona Diamondbacks,109,W
448154,Away,Los Angeles Dodgers,119,W
