game_id,home/away,opp_name,opp_code,result
452866,Home,Chicago Cubs,112,W
446889,Home,Chicago Cubs,112,L
446880,Home,Chicago Cubs,112,L
448298,Home,Texas Rangers,140,W
446926,Home,Texas Rangers,140,L
446941,Home,Texas Rangers,140,L
446956,Home,Texas Rangers,140,W
446962,Away,Oakland Athletics,133,W
446973,Away,Oakland Athletics,133,W
446989,Away,Oakland Athletics,133,W
447015,Away,Minnesota Twins,142,L
447030,Away,Minnesota Twins,142,L
447045,Away,Minnesota Twins,142,L
447055,Away,Chicago White Sox,145,W
447064,Away,Chicago White Sox,145,L
447079,Away,Chicago White Sox,145,L
447093,Away,Chicago White Sox,145,W
447114,Home,Seattle Mariners,136,L
447129,Home,Seattle Mariners,136,W
447144,Home,Seattle Mariners,136,L
447154,Home,Kansas City Royals,118,W
447167,Home,Kansas City Royals,118,W
447182,Home,Kansas City Royals,118,W
447207,Away,Texas Rangers,140,L
447222,Away,Texas Rangers,140,L
447237,Away,Texas Rangers,140,W
447247,Away,Milwaukee Brewers,158,L
447260,Away,Milwaukee Brewers,158,L
447275,Away,Milwaukee Brewers,158,W
447307,Home,Tampa Bay Rays,139,L
447322,Home,Tampa Bay Rays,139,L
447337,Home,Tampa Bay Rays,139,L
447365,Home,St. Louis Cardinals,138,L
447380,Home,St. Louis Cardinals,138,L
447390,Home,St. Louis Cardinals,138,L
447396,Away,Seattle Mariners,136,W
447411,Away,Seattle Mariners,136,W
447426,Away,Seattle Mariners,136,W
447439,Away,Los Angeles Dodgers,119,W
447450,Away,Los Angeles Dodgers,119,L
447465,Home,Los Angeles Dodgers,119,W
447479,Home,Los Angeles Dodgers,119,W
447488,Home,Baltimore Orioles,110,L
447503,Home,Baltimore Orioles,110,L
447518,Home,Baltimore Orioles,110,W
447547,Away,Texas Rangers,140,W
447562,Away,Texas Rangers,140,L
447574,Away,Texas Rangers,140,L
447584,Home,Houston Astros,117,W
447599,Home,Houston Astros,117,L
447614,Home,Houston Astros,117,L
447627,Home,Detroit Tigers,116,W
447642,Home,Detroit Tigers,116,W
447658,Home,Detroit Tigers,116,L
447684,Away,Pittsburgh Pirates,134,W
447699,Away,Pittsburgh Pirates,134,L
447714,Away,Pittsburgh Pirates,134,W
447730,Away,New York Yankees,147,L
447741,Away,New York Yankees,147,L
447756,Away,New York Yankees,147,L
447767,Away,New York Yankees,147,L
447775,Home,Cleveland Indians,114,L
447790,Home,Cleveland Indians,114,W
447805,Home,Cleveland Indians,114,L
447824,Home,Minnesota Twins,142,L
447836,Home,Minnesota Twins,142,W
447851,Home,Minnesota Twins,142,W
447873,Away,Oakland Athletics,133,L
447888,Away,Oakland Athletics,133,W
447903,Away,Oakland Athletics,133,W
447915,Away,Houston Astros,117,L
447927,Away,Houston Astros,117,L
447942,Away,Houston Astros,117,L
447955,Home,Oakland Athletics,133,L
447968,Home,Oakland Athletics,133,L
447983,Home,Oakland Athletics,133,L
447998,Home,Oakland Athletics,133,W
448008,Home,Houston Astros,117,L
448020,Home,Houston Astros,117,L
448035,Home,Houston Astros,117,L
448065,Away,Boston Red Sox,111,L
448080,Away,Boston Red Sox,111,W
448095,Away,Boston Red Sox,111,L
448108,Away,Tampa Bay Rays,139,L
448123,Away,Tampa Bay Rays,139,W
448138,Away,Tampa Bay Rays,139,W
448148,Away,Tampa Bay Rays,139,W
448162,Away,Baltimore Orioles,110,W
448177,Away,Baltimore Orioles,110,L
448192,Away,Baltimore Orioles,110,L
448205,Home,Chicago White Sox,145,W
448220,Home,Chicago White Sox,145,W
448235,Home,Chicago White Sox,145,W
448258,Home,Texas Rangers,140,W
448272,Home,Texas Rangers,140,W
448287,Home,Texas Rangers,140,W
448304,Away,Houston Astros,117,L
448319,Away,Houston Astros,117,L
448334,Away,Houston Astros,117,L
448349,Away,Kansas City Royals,118,W
448361,Away,Kansas City Royals,118,W
448376,Away,Kansas City Royals,118,L
448386,Home,Boston Red Sox,111,W
448395,Home,Boston Red Sox,111,L
448410,Home,Boston Red Sox,111,W
448425,Home,Boston Red Sox,111,L
448454,Home,Oakland Athletics,133,W
448469,Home,Oakland Athletics,133,W
448482,Home,Oakland Athletics,133,L
448494,Away,Seattle Mariners,136,L
448509,Away,Seattle Mariners,136,L
448524,Away,Seattle Mariners,136,L
448549,Away,Chicago Cubs,112,L
448565,Away,Chicago Cubs,112,L
448577,Away,Cleveland Indians,114,L
448591,Away,Cleveland Indians,114,L
448606,Away,Cleveland Indians,114,L
448621,Away,Cleveland Indians,114,L
448632,Home,Seattle Mariners,136,L
448646,Home,Seattle Mariners,136,W
448661,Home,Seattle Mariners,136,L
448675,Home,Seattle Mariners,136,W
448686,Home,New York Yankees,147,L
448701,Home,New York Yankees,147,L
448716,Home,New York Yankees,147,W
448739,Away,Toronto Blue Jays,141,L
448755,Away,Toronto Blue Jays,141,W
448767,Away,Toronto Blue Jays,141,W
448779,Away,Detroit Tigers,116,L
448794,Away,Detroit Tigers,116,W
448809,Away,Detroit Tigers,116,W
448818,Home,Cincinnati Reds,113,W
448832,Home,Cincinnati Reds,113,W
448847,Home,Cincinnati Reds,113,W
448870,Away,Seattle Mariners,136,L
448885,Away,Seattle Mariners,136,W
448900,Away,Seattle Mariners,136,W
448917,Away,Oakland Athletics,133,W
448932,Away,Oakland Athletics,133,L
448947,Away,Oakland Athletics,133,L
448975,Home,Texas Rangers,140,L
448990,Home,Texas Rangers,140,L
449005,Home,Texas Rangers,140,W
449018,Home,Seattle Mariners,136,L
449033,Home,Seattle Mariners,136,L
449048,Home,Seattle Mariners,136,L
449060,Home,Toronto Blue Jays,141,L
449074,Home,Toronto Blue Jays,141,L
449089,Home,Toronto Blue Jays,141,W
