batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
623143,Trevor Brown,0,1,1,0.0,503449,Wily Peralta,9.0,0.353
605412,Joe Panik,1,5,2,0.2,503449,Wily Peralta,9.0,0.353
592612,Josh Osich,0,0,3,0.0,503449,Wily Peralta,9.0,0.353
452254,Hunter Pence,1,5,4,0.2,503449,Wily Peralta,9.0,0.353
474832,Brandon Belt,3,5,5,0.75,503449,Wily Peralta,9.0,0.353
622110,Matt Duffy,2,5,6,0.4,503449,Wily Peralta,9.0,0.353
501303,Ehire Adrianza,1,1,7,1.0,503449,Wily Peralta,9.0,0.353
453923,Gregor Blanco,1,2,8,0.5,503449,Wily Peralta,9.0,0.353
434636,Angel Pagan,1,5,9,0.25,503449,Wily Peralta,9.0,0.353
452655,Denard Span,1,4,1,0.375,519076,Jimmy Nelson,2.45,0.185
605412,Joe Panik,2,4,2,0.333,519076,Jimmy Nelson,2.45,0.185
457763,Buster Posey,0,4,3,0.333,519076,Jimmy Nelson,2.45,0.185
452254,Hunter Pence,1,4,4,0.222,519076,Jimmy Nelson,2.45,0.185
474832,Brandon Belt,1,4,5,0.5,519076,Jimmy Nelson,2.45,0.185
622110,Matt Duffy,0,4,6,0.222,519076,Jimmy Nelson,2.45,0.185
543063,Brandon Crawford,2,4,7,0.429,519076,Jimmy Nelson,2.45,0.185
433586,Santiago Casilla,0,0,8,0.0,519076,Jimmy Nelson,2.45,0.185
434636,Angel Pagan,0,3,9,0.143,519076,Jimmy Nelson,2.45,0.185
434636,Angel Pagan,2,4,1,0.273,543380,Taylor Jungmann,1.8,0.188
605412,Joe Panik,0,4,2,0.25,543380,Taylor Jungmann,1.8,0.188
457763,Buster Posey,0,3,3,0.222,543380,Taylor Jungmann,1.8,0.188
452254,Hunter Pence,2,4,4,0.308,543380,Taylor Jungmann,1.8,0.188
474832,Brandon Belt,0,4,5,0.4,543380,Taylor Jungmann,1.8,0.188
622110,Matt Duffy,1,4,6,0.231,543380,Taylor Jungmann,1.8,0.188
543063,Brandon Crawford,1,4,7,0.4,543380,Taylor Jungmann,1.8,0.188
501303,Ehire Adrianza,0,1,8,0.5,543380,Taylor Jungmann,1.8,0.188
453923,Gregor Blanco,0,3,9,0.167,543380,Taylor Jungmann,1.8,0.188
452655,Denard Span,1,5,1,0.286,622072,Alex Wood,9.0,0.348
605412,Joe Panik,3,5,2,0.353,622072,Alex Wood,9.0,0.348
457763,Buster Posey,3,5,3,0.357,622072,Alex Wood,9.0,0.348
452254,Hunter Pence,1,5,4,0.294,622072,Alex Wood,9.0,0.348
474832,Brandon Belt,1,5,5,0.357,622072,Alex Wood,9.0,0.348
622110,Matt Duffy,2,5,6,0.278,622072,Alex Wood,9.0,0.348
543063,Brandon Crawford,1,5,7,0.357,622072,Alex Wood,9.0,0.348
453923,Gregor Blanco,1,1,8,0.286,622072,Alex Wood,9.0,0.348
519326,Hunter Strickland,0,0,9,0.0,622072,Alex Wood,9.0,0.348
452655,Denard Span,0,4,1,0.222,548389,Ross Stripling,1.23,0.0
605412,Joe Panik,0,4,2,0.3,548389,Ross Stripling,1.23,0.0
452254,Hunter Pence,0,4,3,0.263,548389,Ross Stripling,1.23,0.0
433586,Santiago Casilla,0,0,4,0.0,548389,Ross Stripling,1.23,0.0
622110,Matt Duffy,0,4,5,0.227,548389,Ross Stripling,1.23,0.0
543063,Brandon Crawford,1,4,6,0.333,548389,Ross Stripling,1.23,0.0
434636,Angel Pagan,0,3,7,0.294,548389,Ross Stripling,1.23,0.0
623143,Trevor Brown,1,3,8,0.25,548389,Ross Stripling,1.23,0.0
457763,Buster Posey,0,0,9,0.357,548389,Ross Stripling,1.23,0.0
452655,Denard Span,0,5,1,0.174,477132,Clayton Kershaw,1.2,0.1
434636,Angel Pagan,1,4,2,0.286,477132,Clayton Kershaw,1.2,0.1
457763,Buster Posey,2,4,3,0.389,477132,Clayton Kershaw,1.2,0.1
452254,Hunter Pence,0,4,4,0.227,477132,Clayton Kershaw,1.2,0.1
622110,Matt Duffy,0,4,5,0.192,477132,Clayton Kershaw,1.2,0.1
474832,Brandon Belt,0,4,6,0.238,477132,Clayton Kershaw,1.2,0.1
592612,Josh Osich,0,0,7,0.0,477132,Clayton Kershaw,1.2,0.1
543063,Brandon Crawford,0,1,8,0.316,477132,Clayton Kershaw,1.2,0.1
501303,Ehire Adrianza,1,4,9,0.333,477132,Clayton Kershaw,1.2,0.1
452655,Denard Span,2,5,1,0.214,431148,Scott Kazmir,5.4,0.211
605412,Joe Panik,1,5,2,0.269,431148,Scott Kazmir,5.4,0.211
457763,Buster Posey,2,5,3,0.391,431148,Scott Kazmir,5.4,0.211
452254,Hunter Pence,1,3,4,0.25,431148,Scott Kazmir,5.4,0.211
474832,Brandon Belt,2,4,5,0.292,431148,Scott Kazmir,5.4,0.211
622110,Matt Duffy,2,3,6,0.241,431148,Scott Kazmir,5.4,0.211
543063,Brandon Crawford,0,4,7,0.273,431148,Scott Kazmir,5.4,0.211
433586,Santiago Casilla,0,0,8,0.0,431148,Scott Kazmir,5.4,0.211
434636,Angel Pagan,2,4,9,0.32,431148,Scott Kazmir,5.4,0.211
452655,Denard Span,1,5,1,0.212,543022,Tyler Chatwood,4.38,0.333
605412,Joe Panik,1,5,2,0.258,543022,Tyler Chatwood,4.38,0.333
452254,Hunter Pence,2,5,3,0.276,543022,Tyler Chatwood,4.38,0.333
474832,Brandon Belt,1,4,4,0.286,543022,Tyler Chatwood,4.38,0.333
622110,Matt Duffy,0,4,5,0.219,543022,Tyler Chatwood,4.38,0.333
543063,Brandon Crawford,2,4,6,0.308,543022,Tyler Chatwood,4.38,0.333
434636,Angel Pagan,3,4,7,0.379,543022,Tyler Chatwood,4.38,0.333
623143,Trevor Brown,2,4,8,0.375,543022,Tyler Chatwood,4.38,0.333
502004,George Kontos,0,0,9,0.0,543022,Tyler Chatwood,4.38,0.333
452655,Denard Span,1,4,1,0.222,543475,Jordan Lyles,11.25,0.382
605412,Joe Panik,0,3,2,0.235,543475,Jordan Lyles,11.25,0.382
452254,Hunter Pence,1,4,3,0.273,543475,Jordan Lyles,11.25,0.382
474832,Brandon Belt,2,4,4,0.313,543475,Jordan Lyles,11.25,0.382
622110,Matt Duffy,0,4,5,0.194,543475,Jordan Lyles,11.25,0.382
543063,Brandon Crawford,0,4,6,0.267,543475,Jordan Lyles,11.25,0.382
434636,Angel Pagan,1,4,7,0.387,543475,Jordan Lyles,11.25,0.382
623143,Trevor Brown,2,4,8,0.417,543475,Jordan Lyles,11.25,0.382
501303,Ehire Adrianza,0,1,9,0.25,543475,Jordan Lyles,11.25,0.382
452655,Denard Span,2,5,1,0.244,407822,Jorge De La Rosa,8.8,0.292
