,game_id,home/away,opp_name,opp_code,result
0,529412,Home,Los Angeles Angels,108,W
1,529425,Home,Los Angeles Angels,108,L
2,529436,Home,Los Angeles Angels,108,L
3,529450,Home,Los Angeles Angels,108,L
4,529469,Home,Texas Rangers,140,W
5,529482,Home,Texas Rangers,140,L
6,529495,Home,Texas Rangers,140,W
7,529507,Home,Texas Rangers,140,L
8,529514,Away,Los Angeles Angels,108,L
9,529527,Away,Los Angeles Angels,108,W
10,529542,Away,Los Angeles Angels,108,L
11,529569,Away,Los Angeles Dodgers,119,L
12,529583,Away,Los Angeles Dodgers,119,W
13,529605,Away,Seattle Mariners,136,L
14,529620,Away,Seattle Mariners,136,L
15,529635,Away,Seattle Mariners,136,W
16,529643,Home,Chicago White Sox,145,W
17,529656,Home,Chicago White Sox,145,W
18,529671,Home,Chicago White Sox,145,W
19,529691,Home,Boston Red Sox,111,L
20,529706,Home,Boston Red Sox,111,W
21,529721,Home,Boston Red Sox,111,W
22,529741,Away,Texas Rangers,140,W
23,529755,Away,Texas Rangers,140,W
24,529770,Away,Texas Rangers,140,L
25,529795,Away,Houston Astros,117,W
26,529810,Away,Houston Astros,117,L
27,529825,Away,Houston Astros,117,L
28,529849,Away,Seattle Mariners,136,L
29,529864,Away,Seattle Mariners,136,W
30,529878,Away,Seattle Mariners,136,L
31,529880,Home,Baltimore Orioles,110,W
32,529895,Home,Baltimore Orioles,110,W
33,529911,Home,Baltimore Orioles,110,W
34,529927,Home,Houston Astros,117,L
35,529938,Home,Houston Astros,117,L
36,529953,Home,Houston Astros,117,L
37,529980,Away,New York Yankees,147,W
38,529995,Away,New York Yankees,147,L
39,530010,Away,New York Yankees,147,L
40,530022,Away,Boston Red Sox,111,W
41,530033,Away,Boston Red Sox,111,W
42,530047,Away,Boston Red Sox,111,L
43,530057,Away,Toronto Blue Jays,141,W
44,530072,Away,Toronto Blue Jays,141,W
45,530087,Away,Toronto Blue Jays,141,W
46,530102,Away,Toronto Blue Jays,141,W
47,530130,Home,Seattle Mariners,136,L
48,530145,Home,Seattle Mariners,136,L
49,530153,Home,Seattle Mariners,136,W
50,530154,Home,Arizona Diamondbacks,109,L
51,530169,Home,Arizona Diamondbacks,109,W
52,530184,Home,Arizona Diamondbacks,109,W
53,530210,Home,Tampa Bay Rays,139,L
54,530225,Home,Tampa Bay Rays,139,L
55,530240,Home,Tampa Bay Rays,139,L
56,530252,Home,Tampa Bay Rays,139,W
57,530263,Away,Kansas City Royals,118,W
58,530278,Away,Kansas City Royals,118,L
59,530293,Away,Kansas City Royals,118,W
60,530314,Away,Texas Rangers,140,L
61,530329,Away,Texas Rangers,140,L
62,530338,Home,Kansas City Royals,118,W
63,530349,Home,Kansas City Royals,118,W
64,530364,Home,Kansas City Royals,118,L
65,530379,Home,Kansas City Royals,118,W
66,530401,Home,Houston Astros,117,L
67,530416,Home,Houston Astros,117,L
68,530429,Home,Houston Astros,117,L
69,530441,Home,Los Angeles Angels,108,L
70,530456,Home,Los Angeles Angels,108,W
