batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
547179,Michael Lorenzen,0,0,1,0.0,592791,Jameson Taillon,6.0,0.208
458015,Joey Votto,1,4,2,0.25,592791,Jameson Taillon,6.0,0.208
624577,Yasiel Puig,0,4,3,0.0,592791,Jameson Taillon,6.0,0.208
553993,Eugenio Suarez,0,4,4,0.0,592791,Jameson Taillon,6.0,0.208
594988,Scott Schebler,0,4,5,0.0,592791,Jameson Taillon,6.0,0.208
606299,Jose Peraza,2,4,6,0.5,592791,Jameson Taillon,6.0,0.208
571466,Tucker Barnhart,0,4,7,0.0,592791,Jameson Taillon,6.0,0.208
578428,Jose Iglesias,2,3,8,0.667,592791,Jameson Taillon,6.0,0.208
456696,David Hernandez,0,0,9,0.0,592791,Jameson Taillon,6.0,0.208
571657,Kyle Farmer,0,1,1,0.0,592866,Trevor Williams,0.0,0.15
458015,Joey Votto,2,4,2,0.375,592866,Trevor Williams,0.0,0.15
624577,Yasiel Puig,0,4,3,0.0,592866,Trevor Williams,0.0,0.15
553993,Eugenio Suarez,0,4,4,0.0,592866,Trevor Williams,0.0,0.15
461314,Matt Kemp,0,4,5,0.0,592866,Trevor Williams,0.0,0.15
606299,Jose Peraza,0,3,6,0.286,592866,Trevor Williams,0.0,0.15
571466,Tucker Barnhart,1,3,7,0.167,592866,Trevor Williams,0.0,0.15
453172,Jared Hughes,0,0,8,0.0,592866,Trevor Williams,0.0,0.15
518618,Derek Dietrich,0,2,9,0.333,592866,Trevor Williams,0.0,0.15
594988,Scott Schebler,0,5,1,0.0,605200,Zach Davies,3.6,0.222
458015,Joey Votto,1,5,2,0.333,605200,Zach Davies,3.6,0.222
624577,Yasiel Puig,1,5,3,0.091,605200,Zach Davies,3.6,0.222
553993,Eugenio Suarez,1,4,4,0.1,605200,Zach Davies,3.6,0.222
608385,Jesse Winker,0,1,5,0.0,605200,Zach Davies,3.6,0.222
606299,Jose Peraza,2,4,6,0.364,605200,Zach Davies,3.6,0.222
571466,Tucker Barnhart,2,4,7,0.3,605200,Zach Davies,3.6,0.222
571657,Kyle Farmer,0,2,8,0.0,605200,Zach Davies,3.6,0.222
547179,Michael Lorenzen,0,0,9,0.0,605200,Zach Davies,3.6,0.222
608385,Jesse Winker,0,4,1,0.0,468504,Jhoulys Chacin,4.22,0.158
458015,Joey Votto,0,4,2,0.286,468504,Jhoulys Chacin,4.22,0.158
624577,Yasiel Puig,2,4,3,0.2,468504,Jhoulys Chacin,4.22,0.158
553993,Eugenio Suarez,2,4,4,0.231,468504,Jhoulys Chacin,4.22,0.158
594988,Scott Schebler,0,4,5,0.0,468504,Jhoulys Chacin,4.22,0.158
578428,Jose Iglesias,0,2,6,0.375,468504,Jhoulys Chacin,4.22,0.158
571466,Tucker Barnhart,0,4,7,0.231,468504,Jhoulys Chacin,4.22,0.158
606299,Jose Peraza,0,4,8,0.267,468504,Jhoulys Chacin,4.22,0.158
571657,Kyle Farmer,0,1,9,0.0,468504,Jhoulys Chacin,4.22,0.158
608385,Jesse Winker,0,4,1,0.0,642547,Freddy Peralta,3.27,0.195
458015,Joey Votto,0,4,2,0.222,642547,Freddy Peralta,3.27,0.195
461314,Matt Kemp,1,4,3,0.083,642547,Freddy Peralta,3.27,0.195
553993,Eugenio Suarez,1,4,4,0.235,642547,Freddy Peralta,3.27,0.195
594988,Scott Schebler,0,3,5,0.0,642547,Freddy Peralta,3.27,0.195
518618,Derek Dietrich,0,3,6,0.111,642547,Freddy Peralta,3.27,0.195
606299,Jose Peraza,0,0,7,0.267,642547,Freddy Peralta,3.27,0.195
453172,Jared Hughes,0,0,8,0.0,642547,Freddy Peralta,3.27,0.195
547179,Michael Lorenzen,0,0,9,0.0,642547,Freddy Peralta,3.27,0.195
571657,Kyle Farmer,0,1,1,0.0,543475,Jordan Lyles,0.0,0.176
458015,Joey Votto,0,4,2,0.19,543475,Jordan Lyles,0.0,0.176
624577,Yasiel Puig,0,4,3,0.15,543475,Jordan Lyles,0.0,0.176
553993,Eugenio Suarez,0,4,4,0.2,543475,Jordan Lyles,0.0,0.176
594988,Scott Schebler,1,4,5,0.05,543475,Jordan Lyles,0.0,0.176
606299,Jose Peraza,1,4,6,0.263,543475,Jordan Lyles,0.0,0.176
461314,Matt Kemp,0,1,7,0.077,543475,Jordan Lyles,0.0,0.176
578428,Jose Iglesias,1,4,8,0.308,543475,Jordan Lyles,0.0,0.176
592200,Curt Casali,0,1,9,0.333,543475,Jordan Lyles,0.0,0.176
592200,Curt Casali,0,1,1,0.286,605397,Joe Musgrove,0.0,0.107
458015,Joey Votto,1,4,2,0.2,605397,Joe Musgrove,0.0,0.107
624577,Yasiel Puig,0,4,3,0.125,605397,Joe Musgrove,0.0,0.107
553993,Eugenio Suarez,1,3,4,0.227,605397,Joe Musgrove,0.0,0.107
461314,Matt Kemp,0,3,5,0.063,605397,Joe Musgrove,0.0,0.107
606299,Jose Peraza,0,3,6,0.227,605397,Joe Musgrove,0.0,0.107
571466,Tucker Barnhart,0,3,7,0.263,605397,Joe Musgrove,0.0,0.107
578428,Jose Iglesias,1,3,8,0.313,605397,Joe Musgrove,0.0,0.107
453172,Jared Hughes,0,0,9,0.0,605397,Joe Musgrove,0.0,0.107
553993,Eugenio Suarez,0,1,1,0.217,592866,Trevor Williams,2.25,0.222
458015,Joey Votto,2,5,2,0.233,592866,Trevor Williams,2.25,0.222
624577,Yasiel Puig,1,4,3,0.143,592866,Trevor Williams,2.25,0.222
461314,Matt Kemp,0,4,4,0.05,592866,Trevor Williams,2.25,0.222
628452,Raisel Iglesias,0,0,5,0.0,592866,Trevor Williams,2.25,0.222
606299,Jose Peraza,0,4,6,0.192,592866,Trevor Williams,2.25,0.222
592200,Curt Casali,1,4,7,0.273,592866,Trevor Williams,2.25,0.222
571657,Kyle Farmer,1,4,8,0.111,592866,Trevor Williams,2.25,0.222
578428,Jose Iglesias,0,1,9,0.294,592866,Trevor Williams,2.25,0.222
608385,Jesse Winker,0,4,1,0.042,502042,Chris Archer,2.45,0.179
461314,Matt Kemp,1,2,2,0.091,502042,Chris Archer,2.45,0.179
594988,Scott Schebler,2,4,3,0.138,502042,Chris Archer,2.45,0.179
553993,Eugenio Suarez,0,4,4,0.192,502042,Chris Archer,2.45,0.179
518618,Derek Dietrich,2,4,5,0.278,502042,Chris Archer,2.45,0.179
606299,Jose Peraza,1,4,6,0.2,502042,Chris Archer,2.45,0.179
571657,Kyle Farmer,0,1,7,0.1,502042,Chris Archer,2.45,0.179
578428,Jose Iglesias,0,4,8,0.25,502042,Chris Archer,2.45,0.179
458015,Joey Votto,0,1,9,0.226,502042,Chris Archer,2.45,0.179
608385,Jesse Winker,2,5,1,0.103,570632,Jose Urena,9.22,0.369
571657,Kyle Farmer,1,1,2,0.182,570632,Jose Urena,9.22,0.369
461314,Matt Kemp,2,5,3,0.148,570632,Jose Urena,9.22,0.369
553993,Eugenio Suarez,3,5,4,0.258,570632,Jose Urena,9.22,0.369
594988,Scott Schebler,3,5,5,0.212,570632,Jose Urena,9.22,0.369
518618,Derek Dietrich,0,5,6,0.227,570632,Jose Urena,9.22,0.369
606299,Jose Peraza,2,5,7,0.229,570632,Jose Urena,9.22,0.369
571466,Tucker Barnhart,2,5,8,0.333,570632,Jose Urena,9.22,0.369
547179,Michael Lorenzen,0,2,9,0.0,570632,Jose Urena,9.22,0.369
608385,Jesse Winker,1,4,1,0.125,670950,Trevor Richards,2.0,0.164
458015,Joey Votto,0,4,2,0.216,670950,Trevor Richards,2.0,0.164
628452,Raisel Iglesias,0,0,3,0.0,670950,Trevor Richards,2.0,0.164
553993,Eugenio Suarez,0,3,4,0.242,670950,Trevor Richards,2.0,0.164
594988,Scott Schebler,0,3,5,0.194,670950,Trevor Richards,2.0,0.164
518618,Derek Dietrich,0,3,6,0.2,670950,Trevor Richards,2.0,0.164
571466,Tucker Barnhart,0,3,7,0.308,670950,Trevor Richards,2.0,0.164
578428,Jose Iglesias,1,3,8,0.273,670950,Trevor Richards,2.0,0.164
606299,Jose Peraza,0,1,9,0.222,670950,Trevor Richards,2.0,0.164
608385,Jesse Winker,1,4,1,0.147,641154,Pablo Lopez,6.6,0.306
458015,Joey Votto,2,4,2,0.244,641154,Pablo Lopez,6.6,0.306
624577,Yasiel Puig,1,4,3,0.147,641154,Pablo Lopez,6.6,0.306
553993,Eugenio Suarez,3,4,4,0.297,641154,Pablo Lopez,6.6,0.306
593974,Wandy Peralta,0,0,5,0.0,641154,Pablo Lopez,6.6,0.306
606299,Jose Peraza,0,3,6,0.205,641154,Pablo Lopez,6.6,0.306
592200,Curt Casali,3,4,7,0.375,641154,Pablo Lopez,6.6,0.306
578428,Jose Iglesias,0,4,8,0.231,641154,Pablo Lopez,6.6,0.306
547179,Michael Lorenzen,0,0,9,0.0,641154,Pablo Lopez,6.6,0.306
640447,Phillip Ervin,1,1,1,1.0,425794,Adam Wainwright,3.94,0.214
458015,Joey Votto,1,4,2,0.25,425794,Adam Wainwright,3.94,0.214
624577,Yasiel Puig,0,4,3,0.132,425794,Adam Wainwright,3.94,0.214
553993,Eugenio Suarez,0,3,4,0.282,425794,Adam Wainwright,3.94,0.214
594988,Scott Schebler,1,4,5,0.2,425794,Adam Wainwright,3.94,0.214
518618,Derek Dietrich,2,4,6,0.233,425794,Adam Wainwright,3.94,0.214
571466,Tucker Barnhart,0,4,7,0.267,425794,Adam Wainwright,3.94,0.214
628452,Raisel Iglesias,0,0,8,0.0,425794,Adam Wainwright,3.94,0.214
606299,Jose Peraza,0,2,9,0.195,425794,Adam Wainwright,3.94,0.214
608385,Jesse Winker,2,5,1,0.19,571945,Miles Mikolas,6.0,0.282
458015,Joey Votto,1,5,2,0.245,571945,Miles Mikolas,6.0,0.282
624577,Yasiel Puig,2,5,3,0.163,571945,Miles Mikolas,6.0,0.282
553993,Eugenio Suarez,1,4,4,0.286,571945,Miles Mikolas,6.0,0.282
461314,Matt Kemp,1,1,5,0.162,571945,Miles Mikolas,6.0,0.282
606299,Jose Peraza,0,4,6,0.178,571945,Miles Mikolas,6.0,0.282
592200,Curt Casali,0,1,7,0.375,571945,Miles Mikolas,6.0,0.282
593974,Wandy Peralta,0,0,8,0.0,571945,Miles Mikolas,6.0,0.282
571657,Kyle Farmer,0,1,9,0.154,571945,Miles Mikolas,6.0,0.282
592200,Curt Casali,1,4,1,0.35,477132,Clayton Kershaw,2.57,0.208
553993,Eugenio Suarez,1,4,2,0.283,477132,Clayton Kershaw,2.57,0.208
624577,Yasiel Puig,2,4,3,0.191,477132,Clayton Kershaw,2.57,0.208
461314,Matt Kemp,2,4,4,0.195,477132,Clayton Kershaw,2.57,0.208
628452,Raisel Iglesias,0,0,5,0.0,477132,Clayton Kershaw,2.57,0.208
578428,Jose Iglesias,1,3,6,0.235,477132,Clayton Kershaw,2.57,0.208
594988,Scott Schebler,0,3,7,0.174,477132,Clayton Kershaw,2.57,0.208
458015,Joey Votto,0,1,8,0.24,477132,Clayton Kershaw,2.57,0.208
518618,Derek Dietrich,0,1,9,0.226,477132,Clayton Kershaw,2.57,0.208
458015,Joey Votto,1,4,1,0.241,628317,Kenta Maeda,3.8,0.235
553993,Eugenio Suarez,0,4,2,0.26,628317,Kenta Maeda,3.8,0.235
608385,Jesse Winker,1,4,3,0.191,628317,Kenta Maeda,3.8,0.235
624577,Yasiel Puig,0,4,4,0.176,628317,Kenta Maeda,3.8,0.235
