batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
607043,Brandon Nimmo,2,4,1,0.667,593372,Carlos Martinez,8.31,0.235
493316,Yoenis Cespedes,2,5,2,0.4,593372,Carlos Martinez,8.31,0.235
457803,Jay Bruce,1,5,3,0.333,593372,Carlos Martinez,8.31,0.235
452678,Asdrubal Cabrera,0,5,4,0.0,593372,Carlos Martinez,8.31,0.235
453943,Todd Frazier,1,5,5,0.25,593372,Carlos Martinez,8.31,0.235
408236,Adrian Gonzalez,2,5,6,0.667,593372,Carlos Martinez,8.31,0.235
608700,Kevin Plawecki,2,5,7,0.667,593372,Carlos Martinez,8.31,0.235
544727,Jeurys Familia,0,0,8,0.0,593372,Carlos Martinez,8.31,0.235
642708,Amed Rosario,2,4,9,0.5,593372,Carlos Martinez,8.31,0.235
452678,Asdrubal Cabrera,3,5,1,0.333,608379,Michael Wacha,7.71,0.263
493316,Yoenis Cespedes,1,5,2,0.429,608379,Michael Wacha,7.71,0.263
457803,Jay Bruce,0,5,3,0.125,608379,Michael Wacha,7.71,0.263
453943,Todd Frazier,1,3,4,0.286,608379,Michael Wacha,7.71,0.263
518595,Travis d'Arnaud,1,4,5,0.333,608379,Michael Wacha,7.71,0.263
544727,Jeurys Familia,0,0,6,0.0,608379,Michael Wacha,7.71,0.263
501571,Juan Lagares,2,4,7,0.4,608379,Michael Wacha,7.71,0.263
527038,Wilmer Flores,1,1,8,0.5,608379,Michael Wacha,7.71,0.263
642708,Amed Rosario,0,4,9,0.286,608379,Michael Wacha,7.71,0.263
452678,Asdrubal Cabrera,1,4,1,0.308,596133,Luke Weaver,1.8,0.278
493316,Yoenis Cespedes,1,4,2,0.364,596133,Luke Weaver,1.8,0.278
457803,Jay Bruce,1,4,3,0.167,596133,Luke Weaver,1.8,0.278
453943,Todd Frazier,0,4,4,0.2,596133,Luke Weaver,1.8,0.278
527038,Wilmer Flores,0,4,5,0.167,596133,Luke Weaver,1.8,0.278
608700,Kevin Plawecki,0,4,6,0.333,596133,Luke Weaver,1.8,0.278
501571,Juan Lagares,3,4,7,0.556,596133,Luke Weaver,1.8,0.278
408314,Jose Reyes,0,1,8,0.0,596133,Luke Weaver,1.8,0.278
642708,Amed Rosario,1,4,9,0.273,596133,Luke Weaver,1.8,0.278
607043,Brandon Nimmo,0,3,1,0.333,594902,Ben Lively,3.18,0.273
452678,Asdrubal Cabrera,1,4,2,0.294,594902,Ben Lively,3.18,0.273
493316,Yoenis Cespedes,0,3,3,0.286,594902,Ben Lively,3.18,0.273
457803,Jay Bruce,1,4,4,0.188,594902,Ben Lively,3.18,0.273
453943,Todd Frazier,2,4,5,0.286,594902,Ben Lively,3.18,0.273
527038,Wilmer Flores,0,1,6,0.143,594902,Ben Lively,3.18,0.273
518595,Travis d'Arnaud,1,3,7,0.333,594902,Ben Lively,3.18,0.273
544727,Jeurys Familia,0,0,8,0.0,594902,Ben Lively,3.18,0.273
642708,Amed Rosario,0,1,9,0.25,594902,Ben Lively,3.18,0.273
501571,Juan Lagares,0,1,1,0.5,605400,Aaron Nola,2.61,0.194
493316,Yoenis Cespedes,1,4,2,0.278,605400,Aaron Nola,2.61,0.194
457803,Jay Bruce,1,4,3,0.2,605400,Aaron Nola,2.61,0.194
453943,Todd Frazier,0,4,4,0.235,605400,Aaron Nola,2.61,0.194
452678,Asdrubal Cabrera,1,4,5,0.3,605400,Aaron Nola,2.61,0.194
408236,Adrian Gonzalez,0,4,6,0.308,605400,Aaron Nola,2.61,0.194
608700,Kevin Plawecki,0,3,7,0.222,605400,Aaron Nola,2.61,0.194
544727,Jeurys Familia,0,0,8,0.0,605400,Aaron Nola,2.61,0.194
642708,Amed Rosario,2,3,9,0.333,605400,Aaron Nola,2.61,0.194
624424,Michael Conforto,1,5,1,0.25,544931,Stephen Strasburg,3.65,0.265
452678,Asdrubal Cabrera,1,4,2,0.292,544931,Stephen Strasburg,3.65,0.265
493316,Yoenis Cespedes,1,5,3,0.273,544931,Stephen Strasburg,3.65,0.265
457803,Jay Bruce,2,4,4,0.25,544931,Stephen Strasburg,3.65,0.265
453943,Todd Frazier,0,4,5,0.19,544931,Stephen Strasburg,3.65,0.265
408236,Adrian Gonzalez,1,4,6,0.294,544931,Stephen Strasburg,3.65,0.265
608700,Kevin Plawecki,1,4,7,0.25,544931,Stephen Strasburg,3.65,0.265
408314,Jose Reyes,0,4,8,0.0,544931,Stephen Strasburg,3.65,0.265
607625,Seth Lugo,0,0,9,0.0,544931,Stephen Strasburg,3.65,0.265
452678,Asdrubal Cabrera,2,5,1,0.31,461829,Gio Gonzalez,1.59,0.25
493316,Yoenis Cespedes,0,5,2,0.222,461829,Gio Gonzalez,1.59,0.25
408236,Adrian Gonzalez,0,1,3,0.278,461829,Gio Gonzalez,1.59,0.25
453943,Todd Frazier,1,4,4,0.208,461829,Gio Gonzalez,1.59,0.25
518595,Travis d'Arnaud,1,4,5,0.3,461829,Gio Gonzalez,1.59,0.25
