,game_id,home/away,opp_name,opp_code,result
0,566086,Home,Los Angeles Angels,108,W
1,566087,Home,Los Angeles Angels,108,L
2,566088,Home,Los Angeles Angels,108,W
3,566089,Home,Los Angeles Angels,108,W
4,566090,Home,Boston Red Sox,111,W
5,566091,Home,Boston Red Sox,111,W
6,566092,Home,Boston Red Sox,111,L
7,566093,Home,Boston Red Sox,111,W
8,565606,Away,Houston Astros,117,L
9,565607,Away,Houston Astros,117,L
10,565608,Away,Houston Astros,117,L
11,564933,Away,Baltimore Orioles,110,L
12,564934,Away,Baltimore Orioles,110,W
13,564935,Away,Baltimore Orioles,110,W
14,564936,Away,Baltimore Orioles,110,W
15,566769,Away,Texas Rangers,140,W
16,566771,Away,Texas Rangers,140,L
17,566094,Home,Houston Astros,117,L
18,566095,Home,Houston Astros,117,W
19,566096,Home,Toronto Blue Jays,141,L
20,566097,Home,Toronto Blue Jays,141,L
21,566098,Home,Toronto Blue Jays,141,L
22,566099,Home,Texas Rangers,140,W
23,566100,Home,Texas Rangers,140,W
24,566101,Home,Texas Rangers,140,W
25,566876,Away,Toronto Blue Jays,141,L
26,566877,Away,Toronto Blue Jays,141,L
27,566878,Away,Toronto Blue Jays,141,L
28,565040,Away,Boston Red Sox,111,L
29,565041,Away,Boston Red Sox,111,L
30,565042,Away,Boston Red Sox,111,L
31,566193,Away,Pittsburgh Pirates,134,W
32,566194,Away,Pittsburgh Pirates,134,L
33,566195,Away,Pittsburgh Pirates,134,L
34,566102,Home,Cincinnati Reds,113,W
35,566103,Home,Cincinnati Reds,113,W
36,566104,Home,Cincinnati Reds,113,L
37,566105,Home,Cleveland Indians,114,W
38,566106,Home,Cleveland Indians,114,W
39,566107,Home,Cleveland Indians,114,L
40,566390,Away,Seattle Mariners,136,L
41,566391,Away,Seattle Mariners,136,L
42,565531,Away,Detroit Tigers,116,W
43,565532,Away,Detroit Tigers,116,W
44,565533,Away,Detroit Tigers,116,W
45,565534,Away,Detroit Tigers,116,W
46,565338,Away,Cleveland Indians,114,W
47,565339,Away,Cleveland Indians,114,W
48,565340,Away,Cleveland Indians,114,W
49,566108,Home,Seattle Mariners,136,W
50,566109,Home,Seattle Mariners,136,W
51,566110,Home,Seattle Mariners,136,W
52,566111,Home,Los Angeles Angels,108,W
53,566112,Home,Los Angeles Angels,108,L
54,566113,Home,Los Angeles Angels,108,L
55,566114,Home,Houston Astros,117,L
56,566115,Home,Houston Astros,117,L
57,566116,Home,Houston Astros,117,L
58,564763,Away,Los Angeles Angels,108,W
59,564764,Away,Los Angeles Angels,108,L
60,564765,Away,Los Angeles Angels,108,W
61,566796,Away,Texas Rangers,140,W
