batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
622534,Manuel Margot,1,4,1,0.25,477132,Clayton Kershaw,1.29,0.083
571976,Wil Myers,0,4,2,0.0,477132,Clayton Kershaw,1.29,0.083
500208,Yangervis Solarte,1,4,3,0.25,477132,Clayton Kershaw,1.29,0.083
592669,Hunter Renfroe,0,4,4,0.0,477132,Clayton Kershaw,1.29,0.083
572114,Ryan Schimpf,2,4,5,0.5,477132,Clayton Kershaw,1.29,0.083
516949,Hector Sanchez,0,1,6,0.0,477132,Clayton Kershaw,1.29,0.083
642707,Allen Cordoba,0,1,7,0.0,477132,Clayton Kershaw,1.29,0.083
620443,Luis Torrens,0,1,8,0.0,477132,Clayton Kershaw,1.29,0.083
608671,Travis Jankowski,1,3,9,0.333,477132,Clayton Kershaw,1.29,0.083
608671,Travis Jankowski,0,5,1,0.143,628317,Kenta Maeda,5.4,0.353
622534,Manuel Margot,2,4,2,0.375,628317,Kenta Maeda,5.4,0.353
571976,Wil Myers,2,4,3,0.25,628317,Kenta Maeda,5.4,0.353
500208,Yangervis Solarte,2,4,4,0.375,628317,Kenta Maeda,5.4,0.353
572114,Ryan Schimpf,1,3,5,0.429,628317,Kenta Maeda,5.4,0.353
592669,Hunter Renfroe,1,4,6,0.125,628317,Kenta Maeda,5.4,0.353
595978,Austin Hedges,0,4,7,0.0,628317,Kenta Maeda,5.4,0.353
430947,Erick Aybar,3,4,8,0.6,628317,Kenta Maeda,5.4,0.353
543272,Brad Hand,0,0,9,0.0,628317,Kenta Maeda,5.4,0.353
622534,Manuel Margot,0,4,1,0.273,448179,Rich Hill,1.8,0.143
571976,Wil Myers,2,4,2,0.333,448179,Rich Hill,1.8,0.143
500208,Yangervis Solarte,0,4,3,0.25,448179,Rich Hill,1.8,0.143
592669,Hunter Renfroe,1,4,4,0.167,448179,Rich Hill,1.8,0.143
572114,Ryan Schimpf,0,4,5,0.273,448179,Rich Hill,1.8,0.143
595978,Austin Hedges,0,3,6,0.0,448179,Rich Hill,1.8,0.143
430947,Erick Aybar,0,3,7,0.429,448179,Rich Hill,1.8,0.143
488748,Ryan Buchter,0,0,8,0.0,448179,Rich Hill,1.8,0.143
608671,Travis Jankowski,0,3,9,0.111,448179,Rich Hill,1.8,0.143
608671,Travis Jankowski,1,4,1,0.154,435221,Brandon McCarthy,3.0,0.182
622534,Manuel Margot,0,4,2,0.2,435221,Brandon McCarthy,3.0,0.182
571976,Wil Myers,1,4,3,0.313,435221,Brandon McCarthy,3.0,0.182
543506,Brandon Maurer,0,0,4,0.0,435221,Brandon McCarthy,3.0,0.182
572114,Ryan Schimpf,0,4,5,0.2,435221,Brandon McCarthy,3.0,0.182
592669,Hunter Renfroe,3,4,6,0.313,435221,Brandon McCarthy,3.0,0.182
620443,Luis Torrens,0,1,7,0.0,435221,Brandon McCarthy,3.0,0.182
430947,Erick Aybar,0,4,8,0.3,435221,Brandon McCarthy,3.0,0.182
596143,Luis Sardinas,0,0,9,0.0,435221,Brandon McCarthy,3.0,0.182
622534,Manuel Margot,2,5,1,0.263,430912,Matt Cain,8.31,0.286
608671,Travis Jankowski,1,4,2,0.188,430912,Matt Cain,8.31,0.286
571976,Wil Myers,2,5,3,0.333,430912,Matt Cain,8.31,0.286
500208,Yangervis Solarte,3,5,4,0.35,430912,Matt Cain,8.31,0.286
572114,Ryan Schimpf,0,4,5,0.2,430912,Matt Cain,8.31,0.286
592669,Hunter Renfroe,0,4,6,0.25,430912,Matt Cain,8.31,0.286
595978,Austin Hedges,0,3,7,0.0,430912,Matt Cain,8.31,0.286
430947,Erick Aybar,0,4,8,0.231,430912,Matt Cain,8.31,0.286
543506,Brandon Maurer,0,0,9,0.0,430912,Matt Cain,8.31,0.286
622534,Manuel Margot,2,4,1,0.304,518516,Madison Bumgarner,3.0,0.211
571976,Wil Myers,0,4,2,0.28,518516,Madison Bumgarner,3.0,0.211
500208,Yangervis Solarte,0,3,3,0.304,518516,Madison Bumgarner,3.0,0.211
592669,Hunter Renfroe,2,4,4,0.292,518516,Madison Bumgarner,3.0,0.211
608671,Travis Jankowski,0,0,5,0.188,518516,Madison Bumgarner,3.0,0.211
596143,Luis Sardinas,1,4,6,0.167,518516,Madison Bumgarner,3.0,0.211
595978,Austin Hedges,0,4,7,0.0,518516,Madison Bumgarner,3.0,0.211
430947,Erick Aybar,0,0,8,0.231,518516,Madison Bumgarner,3.0,0.211
488748,Ryan Buchter,0,0,9,0.0,518516,Madison Bumgarner,3.0,0.211
622534,Manuel Margot,1,5,1,0.286,456501,Johnny Cueto,4.5,0.234
608671,Travis Jankowski,0,5,2,0.158,456501,Johnny Cueto,4.5,0.234
571976,Wil Myers,2,5,3,0.3,456501,Johnny Cueto,4.5,0.234
500208,Yangervis Solarte,3,4,4,0.37,456501,Johnny Cueto,4.5,0.234
572114,Ryan Schimpf,0,4,5,0.176,456501,Johnny Cueto,4.5,0.234
592669,Hunter Renfroe,0,4,6,0.25,456501,Johnny Cueto,4.5,0.234
595978,Austin Hedges,0,3,7,0.0,456501,Johnny Cueto,4.5,0.234
600526,Jose Torres,0,0,8,0.0,456501,Johnny Cueto,4.5,0.234
596143,Luis Sardinas,0,2,9,0.143,456501,Johnny Cueto,4.5,0.234
622534,Manuel Margot,2,4,1,0.323,543022,Tyler Chatwood,6.35,0.326
608671,Travis Jankowski,0,4,2,0.13,543022,Tyler Chatwood,6.35,0.326
571976,Wil Myers,4,4,3,0.382,543022,Tyler Chatwood,6.35,0.326
500208,Yangervis Solarte,0,3,4,0.333,543022,Tyler Chatwood,6.35,0.326
572114,Ryan Schimpf,0,4,5,0.15,543022,Tyler Chatwood,6.35,0.326
592669,Hunter Renfroe,2,4,6,0.281,543022,Tyler Chatwood,6.35,0.326
430947,Erick Aybar,0,4,7,0.2,543022,Tyler Chatwood,6.35,0.326
595978,Austin Hedges,0,1,8,0.0,543022,Tyler Chatwood,6.35,0.326
543506,Brandon Maurer,0,0,9,0.0,543022,Tyler Chatwood,6.35,0.326
622534,Manuel Margot,2,4,1,0.343,622608,Antonio Senzatela,1.5,0.171
608671,Travis Jankowski,1,4,2,0.148,622608,Antonio Senzatela,1.5,0.171
571976,Wil Myers,1,3,3,0.378,622608,Antonio Senzatela,1.5,0.171
642707,Allen Cordoba,0,0,4,0.333,622608,Antonio Senzatela,1.5,0.171
572114,Ryan Schimpf,0,4,5,0.13,622608,Antonio Senzatela,1.5,0.171
592669,Hunter Renfroe,0,4,6,0.25,622608,Antonio Senzatela,1.5,0.171
595978,Austin Hedges,0,4,7,0.0,622608,Antonio Senzatela,1.5,0.171
430947,Erick Aybar,1,3,8,0.217,622608,Antonio Senzatela,1.5,0.171
489334,Craig Stammen,0,0,9,0.0,622608,Antonio Senzatela,1.5,0.171
622534,Manuel Margot,1,5,1,0.325,607536,Kyle Freeland,5.91,0.3
571976,Wil Myers,2,4,2,0.4,607536,Kyle Freeland,5.91,0.3
500208,Yangervis Solarte,2,4,3,0.324,607536,Kyle Freeland,5.91,0.3
592669,Hunter Renfroe,1,4,4,0.25,607536,Kyle Freeland,5.91,0.3
572114,Ryan Schimpf,1,3,5,0.16,607536,Kyle Freeland,5.91,0.3
518466,Jabari Blash,0,4,6,0.0,607536,Kyle Freeland,5.91,0.3
595978,Austin Hedges,1,4,7,0.037,607536,Kyle Freeland,5.91,0.3
430947,Erick Aybar,0,4,8,0.192,607536,Kyle Freeland,5.91,0.3
543506,Brandon Maurer,0,0,9,0.0,607536,Kyle Freeland,5.91,0.3
622534,Manuel Margot,1,4,1,0.318,527054,Julio Teheran,0.95,0.231
534812,Kevin Quackenbush,0,0,2,0.0,527054,Julio Teheran,0.95,0.231
571976,Wil Myers,1,4,3,0.386,527054,Julio Teheran,0.95,0.231
500208,Yangervis Solarte,0,3,4,0.3,527054,Julio Teheran,0.95,0.231
572114,Ryan Schimpf,0,4,5,0.148,527054,Julio Teheran,0.95,0.231
592669,Hunter Renfroe,0,4,6,0.227,527054,Julio Teheran,0.95,0.231
642707,Allen Cordoba,1,1,7,0.375,527054,Julio Teheran,0.95,0.231
595978,Austin Hedges,1,4,8,0.065,527054,Julio Teheran,0.95,0.231
596143,Luis Sardinas,0,2,9,0.091,527054,Julio Teheran,0.95,0.231
622534,Manuel Margot,0,4,1,0.292,285079,R.A. Dickey,3.86,0.314
571976,Wil Myers,1,4,2,0.375,285079,R.A. Dickey,3.86,0.314
500208,Yangervis Solarte,0,4,3,0.273,285079,R.A. Dickey,3.86,0.314
572114,Ryan Schimpf,0,4,4,0.129,285079,R.A. Dickey,3.86,0.314
592669,Hunter Renfroe,2,4,5,0.25,285079,R.A. Dickey,3.86,0.314
595978,Austin Hedges,2,4,6,0.114,285079,R.A. Dickey,3.86,0.314
430947,Erick Aybar,0,4,7,0.156,285079,R.A. Dickey,3.86,0.314
642707,Allen Cordoba,1,4,8,0.364,285079,R.A. Dickey,3.86,0.314
516949,Hector Sanchez,0,1,9,0.0,285079,R.A. Dickey,3.86,0.314
622534,Manuel Margot,0,4,1,0.269,112526,Bartolo Colon,4.24,0.175
608671,Travis Jankowski,0,4,2,0.121,112526,Bartolo Colon,4.24,0.175
571976,Wil Myers,1,4,3,0.365,112526,Bartolo Colon,4.24,0.175
500208,Yangervis Solarte,0,4,4,0.25,112526,Bartolo Colon,4.24,0.175
572114,Ryan Schimpf,1,4,5,0.152,112526,Bartolo Colon,4.24,0.175
592669,Hunter Renfroe,1,3,6,0.255,112526,Bartolo Colon,4.24,0.175
516949,Hector Sanchez,0,3,7,0.0,112526,Bartolo Colon,4.24,0.175
