game_id,home/away,opp_name,opp_code,result
634642,Home,Toronto Blue Jays,141,L
634644,Home,Toronto Blue Jays,141,W
634607,Home,Toronto Blue Jays,141,L
634587,Home,Baltimore Orioles,110,W
634599,Home,Baltimore Orioles,110,W
634539,Home,Baltimore Orioles,110,L
634499,Away,Tampa Bay Rays,139,L
632217,Away,Tampa Bay Rays,139,L
632232,Away,Tampa Bay Rays,139,W
632203,Away,Toronto Blue Jays,141,W
634569,Away,Toronto Blue Jays,141,L
634513,Away,Toronto Blue Jays,141,L
634464,Home,Tampa Bay Rays,139,L
634500,Home,Tampa Bay Rays,139,L
634458,Home,Tampa Bay Rays,139,L
634422,Home,Atlanta Braves,144,W
634504,Home,Atlanta Braves,144,L
634436,Away,Cleveland Indians,114,W
634437,Away,Cleveland Indians,114,W
634486,Away,Cleveland Indians,114,W
634372,Away,Cleveland Indians,114,L
634433,Away,Baltimore Orioles,110,L
634387,Away,Baltimore Orioles,110,W
634362,Away,Baltimore Orioles,110,W
634300,Away,Baltimore Orioles,110,L
634327,Home,Detroit Tigers,116,W
634295,Home,Detroit Tigers,116,W
634311,Home,Detroit Tigers,116,W
634269,Home,Houston Astros,117,W
634217,Home,Houston Astros,117,W
634224,Home,Houston Astros,117,L
634234,Home,Washington Nationals,120,L
634221,Home,Washington Nationals,120,W
634218,Home,Washington Nationals,120,W
634169,Away,Tampa Bay Rays,139,W
634210,Away,Tampa Bay Rays,139,W
634126,Away,Tampa Bay Rays,139,L
634146,Away,Baltimore Orioles,110,W
634104,Away,Baltimore Orioles,110,W
634086,Away,Baltimore Orioles,110,L
634099,Away,Texas Rangers,140,L
634067,Away,Texas Rangers,140,W
634168,Away,Texas Rangers,140,W
634047,Away,Texas Rangers,140,W
634014,Home,Chicago White Sox,145,W
634035,Home,Chicago White Sox,145,W
634009,Home,Chicago White Sox,145,W
633956,Home,Toronto Blue Jays,141,L
633974,Home,Toronto Blue Jays,141,L
633910,Home,Toronto Blue Jays,141,W
633961,Away,Detroit Tigers,116,L
633949,Away,Detroit Tigers,116,L
633854,Away,Detroit Tigers,116,L
633898,Home,Tampa Bay Rays,139,L
633861,Home,Tampa Bay Rays,139,W
633882,Home,Tampa Bay Rays,139,W
633819,Home,Tampa Bay Rays,139,L
633824,Home,Boston Red Sox,111,L
633852,Home,Boston Red Sox,111,L
633812,Home,Boston Red Sox,111,L
633804,Away,Minnesota Twins,142,W
633792,Away,Minnesota Twins,142,W
633790,Away,Minnesota Twins,142,L
633763,Away,Philadelphia Phillies,143,L
633715,Away,Philadelphia Phillies,143,L
633653,Away,Toronto Blue Jays,141,W
633695,Away,Toronto Blue Jays,141,W
633633,Away,Toronto Blue Jays,141,W
633609,Home,Oakland Athletics,133,L
633606,Home,Oakland Athletics,133,W
633575,Home,Oakland Athletics,133,W
633621,Home,Kansas City Royals,118,L
633551,Home,Kansas City Royals,118,W
633559,Home,Kansas City Royals,118,W
633543,Away,Boston Red Sox,111,L
633531,Away,Boston Red Sox,111,L
633477,Away,Boston Red Sox,111,L
633601,Home,Los Angeles Angels,108,L
633444,Home,Los Angeles Angels,108,W
633484,Home,Los Angeles Angels,108,L
633440,Home,New York Mets,121,L
633522,Home,New York Mets,121,L
633417,Home,New York Mets,121,W
633382,Away,Seattle Mariners,136,W
633371,Away,Seattle Mariners,136,W
633315,Away,Seattle Mariners,136,L
633348,Away,Houston Astros,117,W
633304,Away,Houston Astros,117,W
633340,Away,Houston Astros,117,L
633310,Home,Boston Red Sox,111,L
633298,Home,Boston Red Sox,111,W
633273,Home,Boston Red Sox,111,W
633216,Home,Philadelphia Phillies,143,W
633213,Home,Philadelphia Phillies,143,W
633193,Away,Boston Red Sox,111,L
633181,Away,Boston Red Sox,111,L
633154,Away,Boston Red Sox,111,W
633198,Away,Boston Red Sox,111,L
633143,Away,Tampa Bay Rays,139,W
633122,Away,Tampa Bay Rays,139,W
633104,Away,Tampa Bay Rays,139,L
633073,Away,Miami Marlins,146,W
633092,Away,Miami Marlins,146,W
633069,Away,Miami Marlins,146,W
633078,Home,Baltimore Orioles,110,L
633023,Home,Baltimore Orioles,110,W
633018,Home,Baltimore Orioles,110,W
633013,Home,Seattle Mariners,136,W
633062,Home,Seattle Mariners,136,W
632950,Home,Seattle Mariners,136,W
632953,Home,Seattle Mariners,136,L
632979,Away,Kansas City Royals,118,W
632987,Away,Kansas City Royals,118,L
632935,Away,Kansas City Royals,118,W
632924,Away,Chicago White Sox,145,L
632898,Away,Chicago White Sox,145,W
632899,Away,Chicago White Sox,145,W
633421,Home,Los Angeles Angels,108,W
633291,Home,Boston Red Sox,111,W
632893,Home,Boston Red Sox,111,W
632852,Home,Boston Red Sox,111,W
632840,Home,Minnesota Twins,142,W
632799,Home,Minnesota Twins,142,W
632821,Home,Minnesota Twins,142,W
632805,Away,Atlanta Braves,144,W
632763,Away,Atlanta Braves,144,W
632749,Away,Oakland Athletics,133,W
632725,Away,Oakland Athletics,133,W
632706,Away,Oakland Athletics,133,L
632700,Away,Oakland Athletics,133,L
632690,Away,Los Angeles Angels,108,L
632675,Away,Los Angeles Angels,108,L
632655,Away,Los Angeles Angels,108,W
632642,Home,Baltimore Orioles,110,W
632622,Home,Baltimore Orioles,110,L
632582,Home,Baltimore Orioles,110,L
632593,Home,Toronto Blue Jays,141,L
632577,Home,Toronto Blue Jays,141,L
632567,Home,Toronto Blue Jays,141,L
632546,Home,Toronto Blue Jays,141,L
632552,Away,New York Mets,121,L
632551,Away,New York Mets,121,W
632522,Away,New York Mets,121,L
632730,Home,Minnesota Twins,142,W
632500,Away,Baltimore Orioles,110,W
632494,Away,Baltimore Orioles,110,W
