,game_id,home/away,opp_name,opp_code,result
0,634636,Home,St. Louis Cardinals,138,L
1,634654,Home,St. Louis Cardinals,138,W
2,634560,Home,St. Louis Cardinals,138,W
3,634558,Home,Pittsburgh Pirates,134,W
4,634530,Home,Pittsburgh Pirates,134,W
5,634570,Home,Pittsburgh Pirates,134,W
6,634540,Away,Arizona Diamondbacks,109,W
7,634484,Away,Arizona Diamondbacks,109,L
8,632209,Away,Arizona Diamondbacks,109,L
9,634648,Away,San Francisco Giants,137,W
10,634510,Away,San Francisco Giants,137,L
11,634582,Away,San Francisco Giants,137,L
12,634482,Home,Cleveland Indians,114,W
13,634460,Home,Cleveland Indians,114,W
14,634487,Home,Cleveland Indians,114,L
15,634408,Home,Arizona Diamondbacks,109,L
16,634408,Home,Arizona Diamondbacks,109,L
17,634444,Home,Arizona Diamondbacks,109,L
18,634514,Home,Arizona Diamondbacks,109,L
19,634378,Away,St. Louis Cardinals,138,L
20,634395,Away,St. Louis Cardinals,138,L
21,634456,Away,St. Louis Cardinals,138,L
22,634363,Away,Los Angeles Dodgers,119,W
23,634379,Away,Los Angeles Dodgers,119,W
24,634365,Away,Los Angeles Dodgers,119,L
25,634305,Home,Chicago Cubs,112,W
26,634273,Home,Chicago Cubs,112,L
27,634298,Home,Chicago Cubs,112,W
28,634251,Home,Chicago White Sox,145,L
29,634270,Home,Chicago White Sox,145,W
30,634203,Away,Cleveland Indians,114,W
31,634187,Away,Cleveland Indians,114,L
32,634152,Away,Pittsburgh Pirates,134,W
33,634174,Away,Pittsburgh Pirates,134,L
34,634137,Away,Pittsburgh Pirates,134,W
35,634191,Away,Colorado Rockies,115,L
36,634121,Away,Colorado Rockies,115,L
37,634148,Away,Colorado Rockies,115,W
38,634098,Away,Colorado Rockies,115,W
39,634070,Home,San Francisco Giants,137,L
40,634058,Home,San Francisco Giants,137,L
41,634061,Home,San Francisco Giants,137,L
42,634020,Home,San Francisco Giants,137,L
43,634027,Home,Milwaukee Brewers,158,W
44,634017,Home,Milwaukee Brewers,158,L
45,633989,Home,Milwaukee Brewers,158,L
46,633965,Away,Washington Nationals,120,W
47,633890,Away,Washington Nationals,120,L
48,633890,Away,Washington Nationals,120,L
49,634003,Away,Washington Nationals,120,W
50,634024,Away,Chicago Cubs,112,L
51,633875,Away,Chicago Cubs,112,L
52,633931,Away,Chicago Cubs,112,W
53,633983,Home,Philadelphia Phillies,143,W
54,633868,Home,Philadelphia Phillies,143,L
55,633809,Away,St. Louis Cardinals,138,W
56,633825,Away,St. Louis Cardinals,138,W
57,633797,Away,St. Louis Cardinals,138,W
58,633808,Away,St. Louis Cardinals,138,W
59,633801,Home,Milwaukee Brewers,158,L
60,633791,Home,Milwaukee Brewers,158,W
61,633757,Home,Milwaukee Brewers,158,L
62,633741,Home,Colorado Rockies,115,W
63,633730,Home,Colorado Rockies,115,W
64,633711,Home,Colorado Rockies,115,W
65,633680,Away,Milwaukee Brewers,158,W
66,633714,Away,Milwaukee Brewers,158,W
67,633665,Away,Milwaukee Brewers,158,W
68,633617,Away,San Diego Padres,135,L
